('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         577407 function calls (554068 primitive calls) in 2.280 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       76    0.000    0.000    0.000    0.000 element.py:1363(_all_strings)
       67    0.000    0.000    0.002    0.000 _htmlparser.py:107(handle_startendtag)
      134    0.000    0.000    0.000    0.000 six.py:92(__init__)
      219    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        3    0.000    0.000    0.000    0.000 url.py:333(parse_url)
       66    0.000    0.000    0.000    0.000 re.py:254(escape)
        1    0.000    0.000    0.000    0.000 cookies.py:164(<dictcomp>)
        1    0.000    0.000    2.280    2.280 financial.py:3(<module>)
      170    0.000    0.000    0.000    0.000 enum.py:628(name)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
        2    0.000    0.000    0.033    0.016 connection.py:1(<module>)
